finding_id,is_on_topic,reasoning_note
finding-9,1,"Iran war day 73, Trump-Tehran clash over peace proposals — direct"
finding-56,0,"Azerbaijani leader on EU/Armenia — Azerbaijan-Armenia dispute, no Iran"
finding-58,1,Trump 'we'll blow them up' if Iran uranium site accessed — direct Iran nuclear war
finding-69,1,Iran executes man accused of spying for CIA/Mossad — direct Iran intel in war context
finding-76,1,Iran demands sovereignty over Hormuz in counterproposal to US — direct
finding-206,0,Police officer + 6 killed Plateau attack Nigeria — Nigeria local violence
finding-220,0,El empleo aguanta — Mexican employment outlook
finding-221,0,Canadá: el socio olvidado — Canada-Mexico trade
finding-224,0,Los delitos de Taddei — Mexican INE corruption
finding-232,0,La Güereja enfermedad incurable — Mexican celebrity health
finding-233,0,Liga MX Clausura 2026 semifinales — Mexican soccer
finding-234,0,Pumas elimina América en CU — Mexican soccer
finding-235,0,"EU y China negocian previo Trump-Xi Seoul — Trump-Xi summit, not Iran war"
finding-241,0,BTS ruta del Edomex a CU México — K-pop tour
finding-244,0,Vandalizan casa Javier Corral Juárez — Mexican political vandalism
finding-247,0,Día de las Madres granizo lluvias CDMX — Mexican weather
finding-254,0,Memes Día de las Madres — Mother's Day humor
finding-260,0,"Visita incómoda de Trump a China — Trump-Xi summit framing, not Iran war"
finding-264,0,Asma afecta pulmones señales crisis — asthma health
finding-268,0,Vijay meets Stalin Tamil Nadu — India politics
finding-273,0,6 killed Chamba gorge overloaded car Himachal — India road accident
finding-274,0,Man kills wife pregnant daughter Jharkhand axe — India crime
finding-280,0,Middle East conflicts danger whales South Africa — wildlife study
finding-282,1,Araghchi visit to China before Trump-Xi — direct Iran diplomacy in war context
finding-284,0,Mother's Day gift ideas financial plans — promo content
finding-292,0,Pakistan IT exports $4.5bn forecast — Pakistan economy
finding-295,0,Gwadar Port tariff reduction Pakistan — Pakistan ports
finding-296,0,Justice Aurangzeb ADR mediation centre Pakistan — Pakistan judiciary
finding-298,0,US French hantavirus ship test positive — hantavirus cluster
finding-303,0,US widens drive revoke citizenship foreign-born — US immigration
finding-308,0,5G handsets affordable Pakistan roadblock — Pakistan tech
finding-314,0,Circle stablecoin revenue boost — crypto
finding-316,0,AI labs safety review US gov contracts — AI policy
finding-320,0,"China won't allow Taiwan WHO assembly — Taiwan WHO, no Iran"
finding-322,1,South Korea condemns attack on cargo ship in Strait of Hormuz — direct Hormuz incident
finding-355,0,"KOSPI peak chip surge despite US-Iran peace deal woes — market reaction with Iran as backdrop, conservative off"
finding-359,0,"S. Korea NATO defense industry cooperation — Korea-NATO, no Iran"
finding-367,0,Korea Exchange eases stock buyback rule — Korea market mechanics
finding-374,0,"KOSPI above 7,800 chip shares — Korea market quote"
finding-379,0,2PM K-pop concerts — entertainment
finding-380,0,Gov't crack down fraudulent perfect-score apartment winners — Korea housing
finding-390,0,KRX buy-side sidecar sharp surge — Korea market mechanics
finding-392,0,Lotte Shopping Q1 net jumps eightfold — Korea retail earnings
finding-396,0,S. Korea Chunmoo rocket export Estonia — Korea defense exports
finding-401,0,Editorial Korea Times constitutional reform — Korea politics
finding-402,0,Editorial Korea Herald constitution — Korea politics
finding-403,0,Top headlines major S. Korean newspapers — generic news
finding-409,0,Surviving death row Thailand UN — UN human interest
finding-426,0,Putin says Ukraine conflict 'coming to an end' — Russia-Ukraine
finding-437,0,Disappearances Mexico state alarming rate — Mexico human rights
finding-443,0,Woolworths plumber's crack case dismissed — Australia workplace humor
finding-446,0,Portrait looted by Nazis Dutch SS — art restitution history
finding-456,0,Keir Starmer make-or-break leadership speech — UK domestic politics
finding-484,1,Iran war: Trump rejects proposal to end conflict — direct DW Iran war
finding-485,0,Syria charges Atef Najib Bashar Assad cousin — Syria war crimes
finding-493,0,Italian Pm Sempio audio — Italian crime case
finding-497,0,Mattarella Milano Renzo Piano lezione — Italian culture
finding-500,0,Borsa Milano apre poco mossa — Italian market quote
finding-511,0,"Trump gas tax suspension door open — US gas tax (Iran connection implicit, not named in summary)"
finding-522,0,Starmer admits frustrated defies step down — UK politics
finding-523,0,Two cruise ship evacuees test positive hantavirus — hantavirus
finding-526,1,China green industries profit Middle East war Strait of Hormuz — direct war-energy framing
finding-533,0,Philippine lawmakers impeach VP Sara Duterte — Philippines politics
finding-548,1,"Iran-Liveblog Iran defends proposal vs Trump, UK France Hormuz plans — direct"
finding-556,0,Studie Kupfermine Peru Arsen — Peru mining environmental
finding-559,0,"Söder Regierung Ergebnisse Prämie tot — German politics, Putin parade aside"
finding-560,0,Palästinensische Gebiete Abbas Erbfolge — Palestinian succession
finding-566,0,Neue E-Auto-Prämie lohnt sich — German EV subsidies
finding-569,0,Klimawandel Eisheiligen Wetterwissen — German weather lore
finding-574,0,KI-Folge Podcast Ufo — German comedy podcast
finding-576,0,IW-Regional-Ranking 400 Städte Kreise — German economic ranking
finding-588,0,UK sanctions Russian propaganda institute Meduza — UK-Russia sanctions
finding-592,0,Russian-language: passengers France US hantavirus — hantavirus
finding-598,1,Trump called Iran response 'unacceptable' (Meduza Russian) — direct Iran peace rejection
finding-600,0,Latvia defense minister resigned Ukrainian drones — Latvia-Ukraine drones
finding-603,0,Obama still most influential democrat — US domestic politics
finding-606,0,War day 1537 Ukraine Russia ceasefire violations — Russia-Ukraine
finding-607,0,FBK Zhdanov interview Navalny biomaterials — Russian opposition
finding-614,0,Latvia defense minister resigned drones (Novaya Gazeta) — Latvia-Ukraine
finding-616,0,Tenerife Hondius hantavirus port arrival Russian-language — hantavirus
finding-618,0,Venice Biennale Russia pavilion — art-political scandal
finding-620,0,EU backs Ukraine war compensation Russian assets — Russia-Ukraine
finding-625,0,Russia lost 1.34M troops Ukraine General Staff — Russia-Ukraine
finding-631,0,Germany skeptical Putin Schroeder Ukraine peace — Russia-Ukraine
finding-637,1,Iran-Israel tensions arm pirates Hormuz blockade RT — direct
finding-638,1,Modi urges Indians cut fuel usage amid Iran war — direct Iran-war fuel spillover
finding-642,0,British army parachutes hantavirus response team — hantavirus
finding-648,0,Baltic state defense minister fired Ukrainian drone — Latvia-Ukraine
finding-659,0,PP mayoría absoluta Andalucía PSOE — Spanish elections
finding-667,0,Orden 1564 putinismo Stalin Cheka — Russian history museum
finding-669,0,Arcadi España hacienda comunidades — Spanish tax policy
finding-674,0,Abogacía Estado regularización inmigrantes — Spain immigration
finding-678,0,Eugenia Martínez de Irujo Cayetana Alba — Spanish nobility
finding-689,0,Curso escolar México fútbol Mundial — Mexico World Cup schedule
finding-692,0,Naturaleza actividad curativa ansiedad — wellness piece
finding-693,0,PP busca tránsfugas Galicia — Spanish regional politics
finding-694,0,Defensas juicio Kitchen Fernández Díaz — Spanish trial
finding-698,0,Mes negro Educación Cataluña 16 huelgas — Catalan education strikes
finding-709,0,Bloqueo tratado pandemias OMS hantavirus — pandemic treaty WHO
finding-732,0,Memoria comunidades Eusebio Moreno franquismo Carabanchel — Spanish franquismo memorial
finding-733,0,Sadiq Valencia permanencia Nico Williams — Spanish soccer
finding-736,0,Dua Lipa demanda Samsung 15M dólares — celebrity lawsuit
finding-739,0,Martin Short hija morte Netflix documentary — celebrity death
finding-741,0,Historia Europa cenar libro Barbero — book review
finding-744,0,Cinturones cordones pines pantalón — fashion product
finding-749,0,ODTÜ bahar şenlikleri 2 şüpheli tutuklandı — Turkish university event arrests
finding-750,0,İmamoğlu casusluk davası ilk duruşma — Turkish trial
finding-752,0,Dendias düşler ülkesinde en güçlü ordu — Greek defense ministry
finding-761,0,İbrahim Erkal vefatının 9. yılı — Turkish singer memorial
finding-768,0,Deniz Seki çocukluk hayalim Fosforlu Cevriye — Turkish singer
