finding_id,is_on_topic,reasoning_note
finding-9,1,Zelensky ex-chief of staff in court money laundering — Yermak theme
finding-122,1,Yulia Navalnaya rejects 'fictitious employees' as FBK infighting goes public
finding-123,1,TV Rain editor jailed 8 years in absentia over war 'fakes' — Russian internal judicial
finding-275,1,Mayo Zambada betrayal twist — Iván Archivaldo planned delivery — Mexican narco
finding-507,1,Zelensky ex-chief of staff in court — Ukraine corruption probe
finding-563,1,Sarkozy Libya funding appeal sentences
finding-679,1,Cum-Ex key figure Berger gets 10 years
finding-717,1,Ex-deputy nature minister Butsayev accused of fraud (fled to US)
finding-722,1,Smerkis Binance director sentenced 5 years — Russian internal
finding-727,1,Ashurkov FBK Dudу interview on oligarchs/Zheleznyak/Friedman
finding-729,1,Yermak in court — does not admit guilt
finding-737,1,Anti-corruption prosecution demands Yermak arrest with $4m bail
finding-740,1,Zelensky ex-spokeswoman Mendel Tucker Carlson interview — Ukrainian political controversy
finding-741,1,Six more suspects in $10m laundering case involving Yermak
finding-743,0,"Palantir CEO in Kyiv — US tech delivery, not judicial"
finding-747,1,Compensation 350k rubles for Samara resident over fabricated drugs case
finding-750,1,Prosecution to demand Yermak arrest with possible bail
finding-752,1,Ashurkov on FBK / Navalny / Volkov — Dudу interview
finding-769,0,Lavrov RT India interview — Russian foreign-policy interview
finding-780,1,Zelensky ex-spokeswoman added to state-linked 'kill list' — Ukrainian political
finding-789,1,Mystery partner in ex-Zelensky aide's money-laundering scheme
finding-840,0,Rasputín monk who fascinated tsars — Russian historical piece
finding-934,1,Özkan Yalım etkin pişmanlık — Turkish judicial cooperation
finding-942,1,Özgür Özel's 'bag-man' also detained — Turkish judicial
finding-984,0,Fake job offer led to my abduction in Zamfara — Nigerian personal story
finding-1372,1,Benin: ex-deputy sentenced 5 years for praising coup attempt — Benin judicial
