finding_id,is_on_topic,reasoning_note
finding-581,1,"Starmer faces calls to quit Farage former — direct"
finding-673,1,"Britischer Premier Starmer weist Rücktrittsforderungen — direct"
finding-683,1,"Britischer Premier Starmer will im Amt bleiben — direct"
finding-669,1,"Debatte Starmer Rücktritt spaltet Labour — direct"
finding-1404,1,"Ousting Keir Starmer harder than looks party rules — direct"
finding-1228,1,"Starmer defies calls to resign get on with governing — direct"
finding-650,1,"UK PM Starmer fights for political survival — direct"
finding-542,1,"How much longer can Keir Starmer cling to power — direct"
finding-1346,1,"How Long Can Keir Starmer Hang On — direct"
finding-602,1,"UK Starmer tells Cabinet continue four junior ministers quit — direct"
finding-15,1,"Starmer at risk because pushed Labour to be new Conservative — direct"
finding-1362,1,"Royaume Uni démission Starmer accroche poste — direct"
finding-819,1,"Por qué primer ministro Reino Unido aguanta Brexit maldición — direct UK context"
finding-543,1,"Labour unions predict Starmer will not lead party next election — direct"
finding-1396,1,"Britain embattled prime minister office Starmer Charles — direct"
finding-1390,1,"Starmer meets Streeting showdown coffee — direct"
finding-1027,1,"Crise Starmer briga perder sobrevivência política — direct"
finding-562,1,"Besieged Starmer heal Labour divisions King's Speech — direct"
finding-1,1,"UK PM Starmer set to meet rival Streeting pledge carry on — direct"
finding-1129,1,"Carlos III presenta programa Gobierno tensión Starmer — direct"
finding-818,1,"Seis candidatos potenciales liderar laborismo reemplazar Starmer — direct"
finding-766,1,"Amid political turmoil UK remains resolutely behind Ukraine — direct"
finding-702,0,"Philipp Türmer Juso Höchstarbeitszeit Wochenarbeitszeit"
finding-116,0,"US FDA Commissioner Marty Makary out Trump"
finding-621,0,"Marty Makary out as FDA chief turbulent term"
finding-1399,1,"How to watch the king's speech like a pro Starmer agenda — direct"
finding-77,0,"French president onstage outburst in Kenya Africa Forward"
finding-982,0,"2027 British govt no preferred candidate Envoy Nigeria"
finding-1057,0,"PT Pacheco não pretende candidato governo"
finding-670,0,"Schwarz-Rot ringt sich selbst Reformen"
finding-624,0,"Key House Republican calls from Democrats to resign radio Kiggans"
finding-233,0,"Nunes Marques toma posse TSE Mendonça vice"
finding-808,0,"Meloni se estrella guerras culturales Italia"
finding-82,0,"Malaysia anti-corruption Abdul Halim Aman new chief"
finding-201,0,"Kenya leadership performance ideas"
finding-730,0,"Латвия упали украинских дрона Спрудс отставка"
finding-1367,0,"Macron Éthiopie ami sommet Nairobi"
finding-192,0,"Eliud Kipchoge Nairobi Macron run French"
finding-1076,0,"Oposição impeachment Moraes redução penas Brasil"
finding-1317,0,"Ivan Cleary Penrith rugby league unprecedented"
finding-495,0,"Guterres highlights Africa's leadership Nairobi summit"
finding-1067,0,"Kassio toma posse presidência TSE ao vivo"
finding-179,0,"Africa Guterres Leadership Speech Summit Nairobi"
finding-1028,0,"Casa do Patrão Boninho critica cautela"
finding-78,0,"Cathay Guy Bradley chairman Patrick Healy retires"
finding-968,0,"UK won't interfere 2027 elections no preferred party Envoy"
finding-977,0,"Food crisis insecurity Nigeria policy"
finding-708,0,"WM 2026 USA Bierhoff DFB Moraldebatten"
finding-617,0,"Democratic calls grow GOP Rep Jen Kiggans resign"
finding-244,0,"Hogar sala juntas desarrollo profesional femenino McKinsey"
finding-937,0,"Mohamed Salah transferinde Fenerbahçe kabul"
finding-841,0,"Marty Makary dimite presiones agencia medicamento US Kennedy"
finding-821,0,"Sentencia Supremo trabajadores públicos puesto fijo"
finding-577,0,"Macron speaks France policies in Sahel countries"
finding-182,0,"Nelson Mandela Bay leadership vacuum administrative takeover"
finding-1022,0,"Não acho empresa privatizada Metrô SP"
finding-187,0,"Treasury MPs mitumba tax Mbadi Kenya"
finding-1059,0,"Kassio toma posse TSE excessos liberdade expressão"
finding-1392,0,"Ist die Minderheitsregierung Option Merz Bärbel-Bas"
finding-530,0,"Malcolm Roberts Bondi beach terror One Nation"
finding-1391,0,"Commission's next big overhaul oldest powerful departments"
finding-1009,0,"Kassio TSE Bolsonaro elegível relembre voto"
finding-196,0,"Wycliffe Oparanya ODM factions Linda Mwananchi"
finding-1256,0,"Rahul Gandhi biased exercise CBI chief selection"
finding-1190,0,"Histórico discurso Churchill asumir batalla"
finding-538,0,"Microsoft Israel branch step down inquiry Israeli"
finding-796,0,"South African Ramaphosa refuses to resign cash scandal"
finding-1064,0,"Flávio Bolsonaro recusaria cumprimentar Lula"
finding-503,0,"Air India crisis deepens final Ahmedabad crash report"
finding-695,0,"Unternehmensberater Firmen retten Insolvenz"
