finding_id,is_on_topic,reasoning_note
finding-33,1,Pentagon lowballs Iran war cost 29 billion real toll — direct
finding-49,0,MEE Morning update multi-topic newsletter
finding-59,1,US offers 15m reward information Iran-linked oil transfers — direct
finding-320,1,Cuenta guerra Irán 29 mil mdd Hegseth subir tensión — direct
finding-339,1,29 Billion 60 Days Iran War Cost 16% More US Estimate — direct
finding-360,1,Iran war costs soar past 29bn truce teeters Trump China trip — direct
finding-536,1,Cost of US war on Iran mounting Hegseth Senate grilling — direct
finding-537,1,UAE's secret attack on Iran risks drawing Gulf states into war — direct
finding-568,1,Middle East live Trump stopping Iran nuclear programme long talk China — direct
finding-570,1,Iran warns US accept peace plan or risk collapse Middle East truce — direct
finding-922,1,Pentagon savaşın ABD maliyeti Hurst — direct
finding-1353,1,Why the U.S. Is Headed for a Long War With Iran — direct
