finding_id,is_on_topic,reasoning_note
finding-153,1,"Frontline combat report during truce — ceasefire violation"
finding-133,1,"Putin proposes Schröder as EU negotiator — peace talk proposals"
finding-21,1,"Russia and Ukraine accuse each other of ceasefire violations — direct"
finding-156,0,"Ukraine weather forecast, no ceasefire/peace topic"
finding-141,0,"Borderline: Germany-Ukraine weapons co-production, not ceasefire/peace"
finding-139,1,"Khartiia tactical operations on Vovchansk axis during truce"
finding-158,1,"Russian strike in Zaporizhzhia during ceasefire — violation"
finding-134,1,"Ukraine reports casualties on second day of Russia truce — direct"
finding-163,0,"Weekly Ukraine weather forecast, no ceasefire/peace topic"
finding-154,1,"Russia troop losses during truce period — ceasefire violation context"
finding-150,1,"Kallas on Russia appointing EU negotiator — peace talk proposals"
finding-131,1,"Both sides accuse other of breaking US-brokered ceasefire — direct"
finding-151,0,"Borderline: German DM arrives in Kyiv, no peace/ceasefire content"
finding-146,0,"EU-Ukraine accession negotiations (separate from RU-UA peace)"
finding-47,1,"Zelensky pushes Putin toward potential leader meeting — peace talks"
finding-161,0,"Ukrenergo power outage status, no ceasefire/peace"
finding-149,0,"Borderline: EU sanctions on Russia for child abductions, not peace talks"
finding-155,1,"Russian shelling 785 strikes during truce — ceasefire violation"
finding-164,0,"Wildfire stats in Ukraine ecosystems, no ceasefire/peace"
finding-159,1,"Drone op destroys Russian flag in Kostiantynivka — combat during truce"
finding-142,0,"Borderline: future EU sanctions, not ceasefire/peace talks"
finding-148,1,"Russian attacks Kharkiv casualties during truce — ceasefire violation"
finding-144,0,"EU €90B loan to Ukraine, financial support not peace talks"
finding-145,1,"Ukraine rejects Schröder as EU negotiator — peace talk proposals"
finding-135,1,"Umerov discusses leader-level meeting formats to end war — peace talks"
finding-137,0,"Borderline: war initiative shifting analysis, not ceasefire/peace"
finding-160,0,"Russian 'nationalization' of properties in Luhansk, occupation admin"
finding-157,0,"Pickup trucks to Kharkiv combat brigades, logistics not peace"
finding-143,0,"Syrskyi inspects Khartia Corps, military command not peace"
finding-147,1,"250 Russian attacks on Ukrainian border units in one day — violation"
finding-152,1,"Russian shelling Kherson casualties during truce — violation"
